Name,Description
Normalized x-coordinate,"Horizontal coordinate of the node normalised against the centre of mass of the foreground mask; locates the critical point of the skeleton along the horizontal axis of the image plane."
Normalized y-coordinate,"Vertical coordinate of the node normalised against the centre of mass; locates the critical point along the vertical axis."
Distance to centroid,"Normalised radial distance of the node from the centre of mass; distinguishes central skeletal points from peripheral ones."
Angle with OX,"Orientation angle of the segment in degrees for Vector nodes; angle of convergence of incident segments for Point nodes; an invariant shape descriptor of the segment."
Endpoint flag,"Boolean feature; affirmative when the node has degree one and therefore terminates a single segment of the skeleton."
Corner flag,"Boolean feature; affirmative when the node registers a direction change exceeding a fixed angular threshold."
Junction angle (min),"The smallest internal angle at a bifurcation point between converging segments; distinguishes acute from open junctions of the skeleton."
Neighbour endpoint count,"Number of adjacent Point nodes flagged as endpoints; characterises the local density of dead-end branches near the node."
Neighbour junction count,"Number of adjacent Point nodes flagged as junctions; characterises proximity to complex structural articulations."
Average neighbour vector length,"Mean normalised length of segments incident to a Point node; characterises the local geometric scale around the point."
Horizontal direction,"Categorical feature defined for Vector nodes; orientation of the segment along the OX axis (left or right)."
Vertical direction,"Categorical feature defined for Vector nodes; orientation of the segment along the OY axis (up or down)."
Length ratio to maximum,"Ratio of a Vector node's length to the longest segment in the graph; distinguishes principal strokes from short connecting segments."
Graph eccentricity,"Maximum hop-distance (in edges) from the node to any other node of the graph; endpoints have high eccentricity, central nodes low."
